,domain,privacy_link,hash,init_language,valid_language,text_content,rank
4717,yomiuri.co.jp,https://yomiuri.co.jp/policy/application/,db081bf2cee0759b2246427eecff334de91afa9348934a252f8cbadfe31263d2,Japan,ja,,2784
5239,help.hatenablog.com,https://help.hatenablog.com/entry/external/terms_and_policy,db03e1f7cfe316db8c424e494bbd93d9dd54c22dbb71ef300d64306931b5cbad,Japan,ja,,3594
4809,booth.pm,https://booth.pm/privacy,02cb37c58410a95a13c10b3bd6983149e7dd2c253e018bfd0efa7000310bdb9b,Japan,ja,,3658
4826,booth.pm,https://booth.pm/legal,1a432c1c1527db2a216d93ba5ebe497d1f69c8769e72bbdd61f354994414e40a,Japan,ja,,3658
4828,booth.pm,https://booth.pm/privacy_14,87c66e6acc116cfe265ebbe4818fe09669f5d88b9916607b30b7332de32a2d75,Japan,ja,,3658
1837,softbank.jp,https://softbank.jp/help/sitepolicy/,784028c24865e8b3955dd3a75bed058c193d1ab13595b162886678081ecf9712,Japan,ja,,4283
1838,softbank.jp,https://softbank.jp/privacy/,c1e1fa0e314ceb157cf79ee7b3ca7615d7d0a4c45a54d88a833a4e7e25f70f8c,Japan,ja,,4283
1839,softbank.jp,https://softbank.jp/corp/socialmedia/policy/,ececdf85f53b3408250e0d62b761d544b5fd5bf4c7e99ed960d2cfd5a6ac2510,Japan,ja,,4283
1840,softbank.jp,https://softbank.jp/corp/aboutus/governance/security/,9ad8f37087e8736c630f7a0a74633430ff18d3434a32781d6b7c79432ea25d14,Japan,ja,,4283
1414,tokyo-sports.co.jp,https://tokyo-sports.co.jp/list/info/privacypolicy,1e85913fe9a1108233466fc84a8c2baf6e6a8070051b901ab2ee56489e4fd0f8,Japan,ja,,4303
2242,ana.co.jp,https://ana.co.jp/ja/jp/guide/terms/cookiepolicy/external_transmission/,bde4b3fc96e026e6ac8e84d580c3858c0cede6d754e0af4ad4b9e68b474cc97c,Japan,ja,,4312
2247,ana.co.jp,https://ana.co.jp/ja/jp/guide/terms/privacy/,ff6e3da18c6a07b9e175dbf83ff2deb904c5d27d140fe894abfbe51f4992cc8d,Japan,ja,,4312
2253,ana.co.jp,https://ana.co.jp/ja/jp/guide/terms/cookiepolicy/,92c6e9c53ccae69ac6d470a3bc82998f8fb1f7b11b10e579363925cf0ec0d178,Japan,ja,,4312
877,egg.5ch.net,https://egg.5ch.net/trafficpolicy/,79ad24e58daa0cb1f863a692c09743e09d8fd6ff690f6d1cb5733c4a39b0bb3a,Japan,ja,,4819
450,bunshun.jp,https://bunshun.jp/list/sitepolicy,934be3ac451adff47f3ebeb21645841b1cb8cfd5a4ff6bf5330183e60a3790c7,Japan,ja,,5021
2532,faq.wowma.jp,https://faq.wowma.jp/policy/90010.php?spe_id=c_ft01,65ce85980150517e1adab9860fc4d10a3d97e74a75c4297c408bdd67fdd2d23b,Japan,ja,,5341
2534,wowma.jp,https://wowma.jp/tutorial/privacy.html,20d145d179f8a02bd2a446af5b9d6b9e22b26916b9318de7bfa3e77265c69c3d,Japan,ja,,5341
2535,wowma.jp,https://wowma.jp/tutorial/privacy.html?spe_id=c_ft01,a3eb22f43e26cef56fed6c672fecba261adf9bf61752231f462160d7b290a6bc,Japan,ja,,5341
1776,fout.jp,https://fout.jp/privacy/,d109fc18b2ce29943c9c6c4d919f35a1ba4defb54ed1ae35ac3e6360c2e692ea,Japan,ja,,5358
5323,natalie.mu,https://natalie.mu/info/privacypolicy,c142582b44e7de175d8d7e87ff0abe0e53a1b44fa860a2dfdf45df994c4815b0,Japan,ja,,5477
4918,kurashiru.com,https://kurashiru.com/privacy_policy,3d0c2a88d977d0db3ab3b3f5d8322905c5ee3c106ce59522810046f161c45a2c,Japan,ja,,5634
4919,kurashiru.com,https://kurashiru.com/service_policy,d1b91801a6bd56b358676eab3cce9225eb6ea3c544cfeca67e1beb46e3e50049,Japan,ja,,5634
2807,help.xrea.com,https://help.xrea.com/manual/security-free/,e898a4ff450b16ab7614f8f01916886b442d87c8ce22739cfee900fb79cb5f0c,Japan,ja,,5760
2809,help.xrea.com,https://help.xrea.com/manual/security-ssl/,a90fef8c4259e7162efaef7501661b6fad232232a64dbde5e8bd3be37e731bdc,Japan,ja,,5760
2725,papy.co.jp,https://papy.co.jp/contact/sc/index/info_privacy.html,7a44e4377eab78097062cdc7a5873fd65442100d847b8f99b95896baa71a824d,Japan,ja,,5957
1228,jump.nikkei225jp.com,https://jump.nikkei225jp.com/j.php?URL=https%3A%2F%2Fjp.reuters.com%2Fworld%2Fsecurity%2FBXUGEDGPWJIKHJWRKGP7TFQG3Q-2024-06-20%2F,2b5b3776cbd7999e79f364f55cfdc46aba1ed9e4ffe0fbbcd38f62b6687255e4,Japan,ja,,5982
1257,jump.nikkei225jp.com,https://jump.nikkei225jp.com/j.php?URL=https%3A%2F%2Fjp.reuters.com%2Fworld%2Fsecurity%2F63I7VYHF4NPIPBIMAKDJYDZV6Q-2024-06-20%2F,5473989f4d958b026283a6ca326348c68d6a984b033de722be5d1987755d2800,Japan,ja,,5982
1486,ekitan.com,https://ekitan.com/help/rules/privacy,f9bd9352914ab8bd053506d88a4b4277e43dc70fe6302829e470b81bb925aee8,Japan,ja,,6069
1489,ekitan.com,http://ekitan.com/help/rules/privacy,e9e7ad8674aee3500d7fe2e8bb02bdb4a0d2be3d330c15c4d02c9ba3664437d1,Japan,ja,,6069
2857,p-world.co.jp,https://p-world.co.jp/policy2.htm,b6182a4f5f577dc8a6c7c34c65d026846d478a625f966d3ee27a38d1760075d0,Japan,ja,,6223
4229,altema.jp,https://altema.jp/privacy,b1779630570c9a1b96436f139ecf45f6bca7212cdbeac9ac1a07cca5bf594ebf,Japan,ja,,6333
3942,smbcnikko.co.jp,https://smbcnikko.co.jp/news/attention/security/index.html,3fa239fd202c18101fe672d98802d20922dadefe99d23c9ec3aaa66c942bafc4,Japan,ja,,6503
3945,smbcnikko.co.jp,https://smbcnikko.co.jp/policy/index.html,30b0d89819a3425cafa8bc9957d59152ef226ba7c022f7ef9d632c8c45fa0f95,Japan,ja,,6503
2829,bitjam.nan-net.com,http://bitjam.nan-net.com/magazine/privacy.php,f8c371c205bb24ee791a2611a3cd0ce7a4d3957e8b3c0faf952beda27c848548,Japan,ja,,6536
1814,keirin.jp,http://keirin.jp/sp/userpolicypaypay,094dc369110490f4ec8b0e9848b75f438e74c508241c5a81abf9f9d3cac2fa3a,Japan,ja,,6604
1816,keirin.jp,http://keirin.jp/pc/userpolicyraku,ae6ee4e3f6a8c2f501b4099ea9fff0e3d74453976317b157fa1d0c5922fe3dd8,Japan,ja,,6604
1817,keirin.jp,http://keirin.jp/pc/userpolicyssnb,c274885f7eeb7b9297bd9f6ae77bd2c6466a8ead9ed02fd363a57aadfe60832b,Japan,ja,,6604
1820,keirin.jp,http://keirin.jp/pc/userpolicysmbc,67772ae00c2c30011e45aa59f123b1a6e06dfa635d32f6b95684243cfb37f8e4,Japan,ja,,6604
1821,keirin.jp,http://keirin.jp/pc/userpolicymufg,0a3efd2f0ee3116dd16819c67235508f6c98a0f41cc000e66b9b16ffa27362d5,Japan,ja,,6604
1822,keirin.jp,http://keirin.jp/pc/userpolicyjpb,5fe7ff8dbd066aba1af010cd78103c9f0fddb03e855daea0f7577c003b5fd922,Japan,ja,,6604
2513,www.toranoana.jp,https://www.toranoana.jp/info/policy/cookie-policy.html,33339073c85cdd82edff7d21bae31ab8c1fcb05834d7c6207524bf02f2a9e7d2,Japan,ja,,6674
2517,www.toranoana.jp,https://www.toranoana.jp/info/policy/policy.html,ba7314326298b11d579ee210e0f41f9e79c6c88ae39695a426f3ed22ebec0802,Japan,ja,,6674
2244,bm.best-hit.tv,https://bm.best-hit.tv/privacypolicy.php,5f1ef1a711c24ca6f1df779db14fe512befc23aa6604f154e7498dccae7e503a,Japan,ja,,6747
4024,macour.jp,https://macour.jp/s/support/privacy.php,6c0f64a957b4506b9f3a80684dce222db09bafb6a57b38ccb0f4782392827214,Japan,ja,,6858
317,recruit.co.jp,https://recruit.co.jp/sustainability/policy/,8e43667679c07ad6dd4d6f0f72ea2cb5c36795592155365a367e25b94a5c6340,Japan,ja,,7443
324,faq-privacy.recruit.co.jp,https://faq-privacy.recruit.co.jp/s/,b5e896e584195d83b30bc22323eb6fd352241a04e2f823185c6fef885f5a81b1,Japan,ja,,7443
327,recruit.co.jp,https://recruit.co.jp/privacy/,88066364cef5444c00a8bfb80e4c7f4af32ea76a91b6d7fa61a84c129563fe1f,Japan,ja,,7443
3594,typingerz.com,https://typingerz.com/privacy-policy,1b5b95db5d604914e6737d77e008ee47884f1b0b1305d2799495179b8374e3a3,Japan,ja,,7583
695,www.buyma.com,https://www.buyma.com/static/agreement.html,cca9fd2e0b78928bcae800385f029d10fbcbf4492248f3c55bd0242bb28a49d2,Japan,ja,,7716
696,www.buyma.com,https://www.buyma.com/static/privacy.html,1764111b7b82f7ac6f36ccfa5deeb35749a4b9bde46558a5b4219c4c5144e30d,Japan,ja,,7716
757,buyma.com,https://buyma.com/static/privacy.html,df6bf4bcef99f0cd3971e2ead5edbe42ff74c734d36898a783d317bbe700f311,Japan,ja,,7716
758,buyma.com,https://buyma.com/static/agreement.html,87f4f4debf6f6ba24ab9989de515c41fdb9e574bce5bbec47d891c70fb10be79,Japan,ja,,7716
3751,www.felissimo.co.jp,https://www.felissimo.co.jp/int/guide/guidesecurity_gl.html?lang=ja_JP,4bc4c67efd6a165b05d76a57579a007c3ea6ebd9af6907fae4e1fdd24fd38e79,Japan,ja,,8091
3752,www.felissimo.co.jp,https://www.felissimo.co.jp/int/guide/guideprivacy_gl.html?lang=ja_JP,2f2dedb1481c5b22f8198d40b6b2e45f6f3859f3815aaf0f1972b82a165e299d,Japan,ja,,8091
3805,www.felissimo.co.jp,https://www.felissimo.co.jp/company/privacy/privacy_cy.html,1410617c13e7ac770135adc2b5af9a8c960f07b365982e3e0bc489190ca362ee,Japan,ja,,8091
3806,www.felissimo.co.jp,https://www.felissimo.co.jp/guide/collection/detail/cosecurity_gd.html,5ef8188ed276c57bf43c63dded5b415ac102d1670a4160b12c11d871cfa7cdc0,Japan,ja,,8091
2019,privacy.tver.jp,https://privacy.tver.jp/privacy-settings/,ace67b2579b15b15318c426e9c11776b01539f2d2adb62355db1b433c914bfda,Japan,ja,,8204
2020,privacy.tver.jp,https://privacy.tver.jp/tver-id-external-data-integration/,60290a97a2bc3830100a40686c30336eaec60205c08944573dfd16c31906151a,Japan,ja,,8204
2021,privacy.tver.jp,https://privacy.tver.jp/about-personal-data/,63dbdec89c459f5c17a13bb64531b513ce284a1df08a0648c7b6e5c9c01bd115,Japan,ja,,8204
2022,privacy.tver.jp,https://privacy.tver.jp/tver-id/,7e4d7f95b15068191967196899254cbca24ae04cba19d4b9e4ffdaae4b6bc300,Japan,ja,,8204
2023,privacy.tver.jp,https://privacy.tver.jp/what-data/,e9fcfad775aff94d37dcda206b40fd7e0aca4417fd2d7267fa637d2ccb6feb01,Japan,ja,,8204
2024,privacy.tver.jp,https://privacy.tver.jp/contact/,67efa3dd058db06fdcbf4c203557e2bf3a1f1baaf52e0ce0bd7355b2167124b7,Japan,ja,,8204
2025,privacy.tver.jp,https://privacy.tver.jp/how-to-get/,ab23d17b68800e89e4ca46b17ad05513501345f0e7fc1be46d61b44bfc28c8de,Japan,ja,,8204
2026,privacy.tver.jp,https://privacy.tver.jp/,4594efe9c5080b53a3c4443df0f45e8b254588f9879127d67477f1052fc2d583,Japan,ja,,8204
2027,privacy.tver.jp,https://privacy.tver.jp/privacy-protection-measures/,06800bd7769b712e950d4968f48e2dd20a40c25ddd878c4d57d09cfc8fb69da7,Japan,ja,,8204
2028,privacy.tver.jp,https://privacy.tver.jp/used-for/,b7fe5829be64b0b87ce20e0025b1d4cb31fdc645dd90f826363e8c5acb7523a1,Japan,ja,,8204
2029,tver.jp,https://tver.jp/privacypolicy,ec3a6771c60c19b24b07b2b3be4b4ae399d78cdc8921707d52eef3f8b2bbb6b8,Japan,ja,,8204
2030,privacy.tver.jp,https://privacy.tver.jp/external-transmission-rules/,ab814ab5d742c490a1b933fb7fb6ea24eca765d2609564abd38a887c5f8ca790,Japan,ja,,8204
2038,tver.jp,https://tver.jp/privacypolicy/20220930,6bb60c1eb38b2c1b6b8c73a5b89d294db9f42e92519845c79afa252f80b00710,Japan,ja,,8204
2042,tver.jp,https://tver.jp/privacypolicy/20220401,98590dd9efdb9bcb094cc28ce5fb7af2aed9d1a26bca8694aabaa34fd843b425,Japan,ja,,8204
2044,tver.jp,https://tver.jp/privacypolicy/20220530,e507450da95ccef7d64eb1dbe1b493570995e8eba671cebb272fae2e32032acb,Japan,ja,,8204
2703,d-deltanet.com,https://d-deltanet.com/contents/html/contents/html/privacy.html,52295b20332af089b9ee36a60467894e580dd864349e541dfbcdb4eb95745da2,Japan,ja,,8417
2704,d-deltanet.com,https://d-deltanet.com/contents/html/contents/html/cookie-policy.html,9c9506eb336a8f5116787c835e8e349cdf1e46762632ee7233b664f44a08955a,Japan,ja,,8417
2707,d-deltanet.com,https://d-deltanet.com/contents/html/contents/html/contents/html/privacy.html,0e94fc4511125828bb864fc5ee3a1e3066e05b48bf559b51c7ff3927d1d2c4db,Japan,ja,,8417
2708,d-deltanet.com,https://d-deltanet.com/contents/html/contents/html/contents/html/cookie-policy.html,d9202b4f800bb1f84fe370cb446f12e053d9dd8b408da873efed0882a4085025,Japan,ja,,8417
2719,d-deltanet.com,https://d-deltanet.com/contents/html/privacy.html,d815b6bb7e36d30996ba83216abf6101e03a448aac5ff519bb1cb6af2e81cf4d,Japan,ja,,8417
2720,d-deltanet.com,https://d-deltanet.com/contents/html/cookie-policy.html,d024ab4877d49a80ba4b8c8eb68fcccfa54a87ead2ff6881430c4b9c8a982dd7,Japan,ja,,8417
3100,shop-pro.jp,https://shop-pro.jp/news/security/,01b7439322cbab6b73854c98fcc55b26e87072c191d157b8d8987bb558c778c2,Japan,ja,,8453
3883,keirin.kdreams.jp,https://keirin.kdreams.jp/info/consent/privacypolicy/,12566e0f13119a4522038cc70510cbd93fb4f56676edff1a2a02bd7dc7b8e37f,Japan,ja,,8571
3884,keirin.kdreams.jp,https://keirin.kdreams.jp/info/sitepolicy/,8f20fcd381bc46d729acc6a70ba8ee56d6e58acb702e6972c50a1c1583e666d7,Japan,ja,,8571
3888,keirin.kdreams.jp,https://keirin.kdreams.jp/info/consent/privacypolicy/?l-id=l-ti-directoryNav_link_consentPrivacypolicy,168e323a35172ddabfd602fed4b2ea85560872c5d20d10c314b89862e751f2f2,Japan,ja,,8571
3889,keirin.kdreams.jp,https://keirin.kdreams.jp/info/sitepolicy/?l-id=l-ti-directoryNav_link_sitepolicy,d1f31cfddacf328faf23173997a54a0a628ea5a9337b0f828b080af8fdb3e74c,Japan,ja,,8571
3890,keirin.kdreams.jp,https://keirin.kdreams.jp/info/consent/userpolicy/,ce7e6f4fc0a418f70531df21d943ce4200ebd1f1a5afe4a774f692fee2e5cb47,Japan,ja,,8571
3892,my.keirin.kdreams.jp,https://my.keirin.kdreams.jp/contact/policy/,c9a8eafdc948ae65a2cf16ffb11da2beaf45ebd9e50c155bf5263bfba282bf9b,Japan,ja,,8571
465,huffingtonpost.jp,https://huffingtonpost.jp/static/huffingtonpostjp-privacy-policy/,88dd2c0bc7c90d4796837ac81ba688634cb1cc29a0fc543f37e2d35e21090ba0,Japan,ja,,8675
468,huffingtonpost.jp,https://huffingtonpost.jp/static/huffingtonpostjp-comment-policy/,5135a69e8d45e68ccf4d8a15815003266345095b80e83acdf04884ec0ec6ffb8,Japan,ja,,8675
5175,pcmax.jp,https://pcmax.jp/pcm/file.php?f=nomember_privecypolicy,5b28e0664aa364f81056a0b932baea3831912bfbdaaa329a27cd05da245225a3,Japan,ja,,8760
1966,camp-fire.jp,https://camp-fire.jp/privacy,0f126b85a27a6b714cf2140ef66f2da9caa5ef22e3be3f6d783eff2513198fe5,Japan,ja,,8965
1970,camp-fire.jp,https://camp-fire.jp/legal,57412e7767d844d7cccd2e037d99ebd79bb95e8a5739452e64506d96307d49f2,Japan,ja,,8965
1995,camp-fire.jp,https://camp-fire.jp/security-compliance/policy,40f36e710dce9515cff08297e168fbbf44c426a006a4c2e995b61c4b82762c4b,Japan,ja,,8965
1706,oceans-nadia.com,https://oceans-nadia.com/terms/cookie_policy,30a6a6db486108b902d88a41577ca097faf548f7acd65e9f23690d652df9dbc9,Japan,ja,,9219
1709,oceans-nadia.com,https://oceans-nadia.com/terms/privacy,b118ab8cfeee4a73b12cc39b8bb12957c9ce41436e6e7dd7f2f92b9c91f3b1d6,Japan,ja,,9219
4281,mitsui-shopping-park.com,https://mitsui-shopping-park.com/policy/,07bc568d41c74784d5a478a2ee8b13a4d9968ae6fa0b3f7339e09bacd8bd3c3d,Japan,ja,,9345
3681,g123.jp,https://g123.jp/privacy_policy,deafe55ef772fee032b7e22b1dd8657dd48740c5faa303ed61ccf97cdd67925c,Japan,ja,,9717
2129,mag.minkabu.jp,https://mag.minkabu.jp/editpolicy/,2cf5caa4f940005b3197e62a4bc09b0449cc37f2389856138883a40c43186113,Japan,ja,,10314
2598,furusato-tax.jp,https://furusato-tax.jp/agreement/link,2522021829fd8f4eabf9af8f8bc0dbea43c02d7c9b66c02628b292d6e18bd507,Japan,ja,,10446
2599,furusato-tax.jp,https://furusato-tax.jp/agreement/policy,67ca823a0fba353d77493925bcef9c81611db38d9868f2d7b8bd35f60c12c538,Japan,ja,,10446
2600,furusato-tax.jp,https://furusato-tax.jp/agreement/terms,e6455949ed26d59ba570320fbceaedae7c28ef32389484db7b67d6b49f8cd990,Japan,ja,,10446
3347,minne.com,https://minne.com/security,36951d90d6b753f7f7bd6af7cdf695ef4ffc1b43855f7008ed06b523b4aff9ef,Japan,ja,,11613
633,corporate.jp.sharp,https://corporate.jp.sharp/policy-j.html,9a673a2792ad16bb3e0b9e627e327588c4eb96c5bf3a7dbe18a42221e2ef4dfb,Japan,ja,,11702
634,corporate.jp.sharp,https://corporate.jp.sharp/security/,32d34dda7111df976c971a25cb63580eaf081bc760c37ac62253402319fe717a,Japan,ja,,11702
637,corporate.jp.sharp,https://corporate.jp.sharp/privacy-j.html,5ca085bf9463a65bb7bfe804a72a429d900b4a8886a6b367a20571eaf4ca3d54,Japan,ja,,11702
638,corporate.jp.sharp,https://corporate.jp.sharp/privacy/index-j.html,2f366d61fef957c74bf90ee1e5cc9c064901eab622c51cbcd2fc97a8890c8dfb,Japan,ja,,11702
878,help.unext.jp,https://help.unext.jp/legal/terms,d8cdc7cd6bceb9039f50d1d3a73f2926dbe2c52d22c45fe1b484a2197e3687c3,Japan,ja,,11771
3220,eplus.jp,https://eplus.jp/privacy,e6d16c134cba425252b648075b0ec76305ace1bd8db03dd911064e056c6c3592,Japan,ja,,12279
3222,eplus.jp,https://eplus.jp/sf/law/customer-harassment-policy,376e4b10917eba9fdd2a952545afd2ce31650f748fa208bf55acc2b4e643a830,Japan,ja,,12279
3223,eplus.jp,https://eplus.jp/sf/law/privacy/web,c53a549a6b3cbb0a45f46b8cf4aeacb21f9ca491d0b81531b6f496b619bbbce3,Japan,ja,,12279
3225,eplus.jp,https://eplus.jp/sf/law/privacy/anounce,33dca4b215022a040e51f9c5b404b8b81d485194eb6ed6d510da26d53da27ffa,Japan,ja,,12279
3228,eplus.jp,https://eplus.jp/sf/law/privacy,ac97fda56088eae8408487f96f3dadada456fbbb2685c03c5c92370ddf7561e9,Japan,ja,,12279
3229,eplus.jp,https://eplus.jp/sf/security,4285348c767e6a88d06925139a4a82fc514eb8697744ce303e01df38f3388e9e,Japan,ja,,12279
4900,jprime.jp,https://jprime.jp/list/info/content_policy,08dc652e2fb82169f68f39d202ba28a907a0750a43339ca153a9669df63c0c45,Japan,ja,,13304
2166,help.laxd.com,https://help.laxd.com/privacy/tos/ja,1de3a509bf2cdd4bdf40359080de1635783d1b49964dd31f72490ba5a25d8581,Japan,ja,,13312
897,locondo.jp,https://locondo.jp/shop/contents/privacy,0604ad08c6272bc865c58070051960ddfd5c300f184d37f29e8a60de92546d4e,Japan,ja,,13331
898,locondo.jp,https://locondo.jp/shop/contents/legal,52beea0d185604a555d6e919b0c928a4f7ce6e4dead117fe57b95d2aeaaa80fb,Japan,ja,,13331
1772,ymobile.jp,https://ymobile.jp/corporate/open/agreement/,6f63a2d41849a911585afd410b5e843c2f72339fb481a7d35a9bfec18f1c8a05,Japan,ja,,14312
1779,ymobile.jp,https://ymobile.jp/service/security_pack/,5f8cba895615b6443a7e1c2b8215040968eef0636adb67e16755475cca439ffd,Japan,ja,,14312
4292,www.irasutoya.com,https://www.irasutoya.com/2012/01/privacy.html,8458fbfb090af74a2dce0bfb4eee72e52fcd519e04b279238dd7a85cdbd8be7f,Japan,ja,,14912
4354,irasutoya.com,https://irasutoya.com/2012/01/privacy.html,355c6bc73c82a3b0fcc252d116176a7f37b6252cdfa8f5ce3247026f0e946a50,Japan,ja,,14912
1729,wear.jp,https://wear.jp/privacy/,f240bc02e5c872918752a76eb0869b06722d62503a8d4efda43b5b5e3a981a9e,Japan,en,,15198
1732,wear.jp,https://wear.jp/privacy/cookie/en/,31a7f238f8582b90ee0e87869626cab00f25f18da2ad7fac98cf05a79cb9fb94,Japan,en,,15198
1733,wear.jp,https://wear.jp/login/?bkurl=%2Fprivacy%2Fen%2F,1e1231bebca41b6d78a86318302503ad2e306f0d92705a6680aa681b709a099f,Japan,en,,15198
1734,wear.jp,https://wear.jp/privacy/processors/,6f6a4c9c58d35958b9faaa945873c7a17e946e505df69e38506667f045d12267,Japan,ja,,15198
5267,forbesjapan.com,https://forbesjapan.com/page/privacy,b0111a2e7f47e3561bbcdfdef87929bf27a2b20f381148717051873846b7fbed,Japan,ja,,15337
5269,forbesjapan.com,https://forbesjapan.com/page/agreement_id,26bc029f809add7cdfe2bc4d04d831364eb67d3b84f2fe11b5a3ab9b4e1bcd13,Japan,ja,,15337
1430,lolipop.jp,https://lolipop.jp/policy/,1672853f63ad750aca962fcd42fb880cf7d360fb788bf34611e0b861db575cc4,Japan,ja,,15623
3906,andpad.jp,https://andpad.jp/help/security/,91efcb28e5939fd29cd3dd535cf47122bc3a57882de58b157f544b1f3799962c,Japan,ja,,16156
3909,andpad.jp,https://andpad.jp/privacy/,807e35d3bf94f3f8d7490be1c3e40c6f681813af10ca9f615a6b5595e59c2c1d,Japan,ja,,16156
