surface,normalized,dictionary,pos
전역,전역,전역,Noun
하고,하고,하고,Josa
왔어요,왔어요,오다,Verb
안녕하세요,안녕하세요,안녕하다,Adjective
안녕하세요,안녕하세요,안녕하다,Adjective
순천,순천,순천,Noun
러버,러버,러버,Noun
입니다,입니다,이다,Adjective
안녕하세요,안녕하세요,안녕하다,Adjective
ㅎㅎ,ㅎㅎ,ㅎㅎ,KoreanParticle
안녕하세요,안녕하세요,안녕하다,Adjective
안녕하세요,안녕하세요,안녕하다,Adjective
안녕하세요,안녕하세요,안녕하다,Adjective
섭,섭,섭,Noun
남자,남자,남자,Noun
입니다,입니다,이다,Adjective
에는,에는,에는,Josa
레깅스,레깅스,레깅스,Noun
용인,용인,용인,Noun
오늘밤,오늘밤,오늘밤,Noun
보실,보실,보다,Verb
분,분,분,Noun
안녕하세요,안녕하세요,안녕하다,Adjective
파,파,파,Noun
주럽,주럽,주럽,Noun
",",",",",",Punctuation
바이,바이,바이,Noun
입니다,입니다,이다,Adjective
최신,최신,최신,Noun
댓글,댓글,댓글,Noun
순천,순천,순천,Noun
안녕하세요,안녕하세요,안녕하다,Adjective
반갑습니다,반갑습니다,반갑다,Adjective
Sekong,Sekong,Sekong,Alpha
11,11,11,Number
입니다,입니다,이다,Adjective
연락,연락,연락,Noun
주세요,주세요,줄다,Verb
본디지,본디지,본디지,Noun
좋아하시는,좋아하시는,좋아하다,Adjective
분,분,분,Noun
은,은,은,Josa
언제나,언제나,언제나,Adverb
경북,경북,경북,Noun
지역,지역,지역,Noun
사람,사람,사람,Noun
별루,별루,별루,Noun
없는거,없는거,없다,Adjective
섹시하네요,섹시하네요,섹시하다,Adjective
우와,우와,우와,Exclamation
몸매,몸매,몸매,Noun
야하다,야하다,야하다,Adjective
핫,핫,핫,Noun
하시네,하시네,하다,Verb
반가워요,반가워요,반갑다,Adjective
